iter	Passed	Remaining
171	284	1368
172	287	1375
173	294	1399
174	301	1422
175	304	1423
176	306	1425
177	308	1423
178	309	1420
179	311	1419
180	313	1419
181	314	1415
182	316	1411
183	317	1408
184	321	1415
185	324	1419
186	327	1421
187	328	1419
188	333	1431
189	337	1439
190	341	1446
191	346	1456
192	349	1459
193	353	1468
194	355	1468
195	357	1465
196	359	1466
197	366	1483
198	369	1489
199	373	1492
200	375	1490
201	377	1490
202	379	1489
203	381	1488
204	383	1487
205	385	1486
206	387	1485
207	389	1482
208	391	1480
209	392	1477
210	394	1473
211	395	1470
212	397	1467
213	398	1463
214	400	1461
215	401	1457
216	402	1453
217	404	1450
218	405	1447
219	407	1443
220	408	1440
221	410	1437
222	411	1435
223	413	1430
224	414	1426
225	415	1424
226	416	1419
227	418	1417
228	420	1414
229	421	1412
230	423	1408
231	424	1405
232	425	1401
233	426	1397
234	428	1393
235	429	1390
236	430	1386
237	432	1383
238	433	1379
239	434	1375
240	435	1372
241	436	1368
242	438	1365
243	439	1362
244	440	1358
245	441	1354
246	443	1351
247	444	1348
248	445	1344
249	447	1343
250	448	1339
251	450	1335
252	450	1331
253	452	1327
254	453	1325
255	455	1322
256	456	1320
257	458	1318
258	459	1315
259	460	1311
260	462	1309
261	464	1309
262	466	1307
263	467	1303
264	468	1299
265	470	1297
266	471	1293
267	472	1290
268	473	1286
269	474	1283
270	475	1279
271	477	1276
272	479	1278
273	481	1276
274	482	1272
275	483	1269
276	485	1268
277	487	1265
278	488	1262
279	490	1261
280	491	1258
281	495	1260
282	497	1260
283	498	1257
284	500	1255
285	502	1253
286	503	1251
287	505	1248
288	506	1246
289	508	1243
290	511	1247
291	514	1246
292	516	1245
293	519	1246
294	522	1247
295	524	1247
296	528	1250
297	529	1247
298	531	1245
299	533	1244
300	534	1241
301	536	1238
302	537	1235
303	538	1232
304	542	1236
305	543	1233
306	545	1230
307	546	1228
308	548	1225
309	550	1224
310	551	1222
311	554	1221
312	557	1223
313	558	1221
314	560	1218
315	563	1220
316	565	1218
317	567	1216
318	568	1213
319	569	1209
320	572	1210
321	573	1208
322	576	1207
323	577	1205
324	579	1202
325	580	1200
326	582	1197
327	583	1195
328	584	1191
329	587	1192
330	588	1190
331	589	1187
332	591	1184
333	593	1184
334	595	1182
335	596	1179
336	598	1176
337	599	1173
338	601	1173
339	604	1174
340	606	1171
341	607	1168
342	609	1167
343	615	1174
344	620	1177
345	626	1183
346	628	1183
347	631	1182
348	635	1184
349	637	1183
350	638	1180
351	642	1183
352	645	1182
353	646	1180
354	650	1182
355	653	1181
356	654	1179
357	658	1180
358	659	1177
359	660	1174
360	661	1171
361	663	1169
362	667	1171
363	669	1169
364	671	1168
365	673	1166
366	677	1167
367	679	1166
368	682	1167
369	683	1164
370	685	1161
371	687	1161
372	689	1158
373	691	1157
374	693	1155
375	694	1153
376	697	1153
377	699	1150
378	700	1148
379	702	1146
380	704	1143
381	705	1141
382	706	1138
383	710	1139
384	711	1136
385	712	1133
386	713	1130
387	714	1127
388	715	1124
389	717	1122
390	719	1120
391	720	1117
392	722	1115
393	723	1113
394	725	1110
395	726	1108
396	730	1108
397	731	1106
398	732	1103
399	734	1101
400	735	1099
401	737	1096
402	739	1094
403	740	1092
404	741	1089
405	742	1086
406	745	1085
407	746	1082
408	747	1080
409	749	1078
410	750	1075
411	751	1072
412	752	1069
413	755	1069
414	756	1066
415	758	1065
416	760	1063
417	761	1060
418	762	1057
419	763	1054
420	764	1051
421	766	1050
422	767	1047
423	770	1046
424	771	1044
425	773	1041
426	774	1039
427	776	1037
428	777	1035
429	779	1033
430	781	1031
431	782	1029
432	783	1026
433	784	1023
434	786	1021
435	787	1019
436	789	1017
437	791	1015
438	793	1013
439	794	1011
440	795	1008
441	797	1006
442	798	1004
443	800	1002
444	801	1000
445	803	997
446	804	994
447	805	991
448	806	989
449	808	988
450	810	986
451	812	984
452	815	984
453	816	981
454	817	979
455	819	977
456	820	974
457	821	971
458	822	969
459	824	968
460	826	965
461	827	963
462	828	960
463	829	958
464	830	955
465	832	954
466	833	951
467	834	949
468	835	946
469	836	943
470	838	942
471	841	941
472	842	938
473	843	936
474	845	934
475	846	931
476	847	929
477	848	926
478	849	924
479	850	921
480	852	919
481	854	918
482	856	916
483	857	913
484	858	911
485	859	909
486	861	907
487	862	904
488	863	902
489	865	900
490	866	898
491	867	895
492	868	892
493	872	893
494	873	890
495	875	889
496	876	886
497	877	884
498	878	882
499	879	879
500	881	877
501	882	875
502	883	872
503	886	872
504	887	869
505	888	867
506	889	864
507	890	862
508	891	860
509	893	858
510	894	856
511	896	854
512	897	851
513	897	849
514	899	846
515	901	845
516	902	842
517	903	840
518	903	837
519	905	836
520	907	834
521	909	832
522	910	830
523	911	828
524	912	825
525	913	823
526	914	820
527	916	818
528	917	816
529	918	814
530	918	811
531	920	809
532	921	807
533	923	806
534	925	804
535	926	802
536	927	799
537	928	797
538	929	795
539	930	793
540	932	791
541	933	788
542	934	786
543	935	784
544	936	781
545	937	779
546	938	777
547	939	774
548	940	772
549	941	770
550	942	768
551	943	765
552	944	763
553	945	761
554	947	759
555	948	757
556	948	754
557	949	752
558	950	750
559	951	747
560	952	745
561	954	743
562	955	741
563	956	739
564	957	737
565	958	734
566	959	732
567	960	730
568	962	728
569	963	726
570	964	724
571	965	722
572	966	720
573	967	718
574	968	715
575	969	713
576	970	711
577	972	709
578	973	708
579	975	706
580	976	704
581	978	702
582	980	701
583	981	699
584	984	698
585	986	696
586	987	695
587	989	693
588	991	691
589	993	690
590	995	688
591	997	687
592	999	685
593	1000	684
594	1003	682
595	1004	680
596	1006	679
597	1015	682
598	1018	681
599	1021	680
600	1022	679
601	1024	677
602	1025	675
603	1027	673
604	1029	671
605	1030	669
606	1032	668
607	1033	666
608	1034	664
609	1035	662
610	1037	660
611	1038	658
612	1039	656
613	1041	654
614	1043	653
615	1044	651
616	1046	649
617	1047	647
618	1048	645
619	1050	643
620	1052	642
621	1053	640
622	1056	639
623	1059	638
624	1062	637
625	1063	635
626	1066	634
627	1068	632
628	1069	631
629	1071	629
630	1072	627
631	1073	625
632	1075	623
633	1076	621
634	1079	620
635	1080	618
636	1081	616
637	1083	614
638	1084	612
639	1085	610
640	1086	608
641	1088	606
642	1090	605
643	1092	603
644	1093	602
645	1095	600
646	1096	598
647	1097	596
648	1098	594
649	1099	592
650	1100	589
651	1101	587
652	1102	585
653	1103	583
654	1104	581
655	1105	579
656	1107	578
657	1108	576
658	1110	574
659	1111	572
660	1112	570
661	1113	568
662	1115	567
663	1117	565
664	1119	564
665	1121	562
666	1122	560
667	1123	558
668	1125	556
669	1125	554
670	1126	552
671	1127	550
672	1128	548
673	1129	546
674	1130	544
675	1131	542
676	1132	540
677	1133	538
678	1134	536
679	1135	534
680	1136	532
681	1137	530
682	1138	528
683	1139	526
684	1140	524
685	1140	522
686	1141	520
687	1142	518
688	1143	516
689	1144	514
690	1145	512
691	1146	510
692	1147	508
693	1148	506
694	1149	504
695	1151	502
696	1151	500
697	1152	498
698	1153	496
699	1154	494
700	1155	492
701	1156	490
702	1157	489
703	1158	487
704	1159	485
705	1160	483
706	1161	481
707	1161	479
708	1162	477
709	1163	475
710	1164	473
711	1165	471
712	1166	469
713	1167	467
714	1168	465
715	1168	463
716	1170	461
717	1171	460
718	1172	458
719	1173	456
720	1174	454
721	1175	452
722	1176	450
723	1177	448
724	1178	446
725	1179	445
726	1180	443
727	1181	441
728	1182	439
729	1183	437
730	1183	435
731	1184	433
732	1185	431
733	1186	430
734	1187	428
735	1188	426
736	1189	424
737	1190	422
738	1191	420
739	1192	418
740	1192	416
741	1193	415
742	1194	413
743	1195	411
744	1196	409
745	1197	407
746	1198	405
747	1199	404
748	1200	402
749	1201	400
750	1202	398
751	1203	396
752	1204	394
753	1205	393
754	1206	391
755	1207	389
756	1208	388
757	1209	386
758	1210	384
759	1211	382
760	1212	380
761	1213	378
762	1214	377
763	1215	375
764	1216	373
765	1216	371
766	1217	369
767	1218	368
768	1219	366
769	1221	364
770	1222	362
771	1222	361
772	1223	359
773	1224	357
774	1225	355
775	1226	353
776	1227	352
777	1227	350
778	1229	348
779	1230	346
780	1231	345
781	1231	343
782	1232	341
783	1233	339
784	1234	338
785	1235	336
786	1236	334
787	1237	332
788	1238	331
789	1239	329
790	1240	327
791	1241	325
792	1242	324
793	1243	322
794	1243	320
795	1245	319
796	1245	317
797	1246	315
798	1247	313
799	1248	312
800	1249	310
801	1250	308
802	1250	306
803	1251	305
804	1252	303
805	1253	301
806	1254	300
807	1255	298
808	1256	296
809	1257	294
810	1258	293
811	1259	291
812	1260	289
813	1261	288
814	1262	286
815	1262	284
816	1263	283
817	1264	281
818	1265	279
819	1266	277
820	1267	276
821	1268	274
822	1269	273
823	1270	271
824	1271	269
825	1272	268
826	1273	266
827	1274	264
828	1275	263
829	1276	261
830	1277	259
831	1277	258
832	1278	256
833	1279	254
834	1280	252
835	1281	251
836	1282	249
837	1283	248
838	1284	246
839	1285	244
840	1286	243
841	1287	241
842	1288	239
843	1289	238
844	1290	236
845	1291	235
846	1292	233
847	1293	231
848	1294	230
849	1295	228
850	1296	226
851	1297	225
852	1298	223
853	1300	222
854	1301	220
855	1302	219
856	1303	217
857	1304	215
858	1305	214
859	1306	212
860	1307	211
861	1308	209
862	1309	207
863	1310	206
864	1310	204
865	1311	202
866	1312	201
867	1313	199
868	1314	198
869	1316	196
870	1316	195
871	1317	193
872	1318	191
873	1319	190
874	1320	188
875	1321	187
876	1322	185
877	1323	183
878	1324	182
879	1325	180
880	1326	179
881	1327	177
882	1328	175
883	1329	174
884	1330	172
885	1330	171
886	1331	169
887	1332	168
888	1333	166
889	1335	165
890	1336	163
891	1337	161
892	1337	160
893	1339	158
894	1340	157
895	1342	155
896	1343	154
897	1344	152
898	1345	151
899	1346	149
900	1347	148
901	1348	146
902	1349	144
903	1350	143
904	1351	141
905	1352	140
906	1353	138
907	1354	137
908	1355	135
909	1356	134
910	1357	132
911	1359	131
912	1360	129
913	1361	128
914	1362	126
915	1363	125
916	1364	123
917	1365	121
918	1366	120
919	1367	118
920	1368	117
921	1369	115
922	1371	114
923	1372	112
924	1373	111
925	1373	109
926	1375	108
927	1376	106
928	1377	105
929	1378	103
930	1379	102
931	1380	100
932	1381	99
933	1382	97
934	1383	96
935	1384	94
936	1384	93
937	1386	91
938	1387	90
939	1388	88
940	1390	87
941	1391	85
942	1392	84
943	1393	82
944	1394	81
945	1395	79
946	1396	78
947	1397	76
948	1398	75
949	1399	73
950	1400	72
951	1402	70
952	1404	69
953	1405	67
954	1408	66
955	1409	64
956	1411	63
957	1413	61
958	1414	60
959	1415	58
960	1416	57
961	1418	56
962	1420	54
963	1421	53
964	1422	51
965	1424	50
966	1427	48
967	1429	47
968	1430	45
969	1431	44
970	1432	42
971	1435	41
972	1436	39
973	1437	38
974	1439	36
975	1440	35
976	1441	33
977	1442	32
978	1443	30
979	1444	29
980	1445	27
981	1446	26
982	1447	25
983	1447	23
984	1448	22
985	1450	20
986	1451	19
987	1452	17
988	1453	16
989	1454	14
990	1455	13
991	1455	11
992	1456	10
993	1457	8
994	1458	7
995	1459	5
996	1460	4
997	1461	2
998	1462	1
999	1463	0
